"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"2590721","MAESGEINAV","MAESGETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:27.31995+00","2026-02-05 12:47:27.31996+00","0",NULL
"2598913","SBILTYINAV","SBIETFQLTY INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.02257+00","2026-02-05 12:47:30.022581+00","0",NULL
"2599169","SBICONINAV","SBIETFCON INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.186466+00","2026-02-05 12:47:30.186475+00","0",NULL
"2599425","SBIFPBINAV","SBIETFPB INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.36315+00","2026-02-05 12:47:30.36316+00","0",NULL
"2599681","SETF10INAV","SETF10GILT INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.544571+00","2026-02-05 12:47:30.544581+00","0",NULL
"2600961","SBIETFINAV","SBIETFIT INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.688556+00","2026-02-05 12:47:30.688565+00","0",NULL
"2601217","SETF50INAV","SETFNIF50 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:30.868689+00","2026-02-05 12:47:30.868699+00","0",NULL
"2602497","SETFNIINAV","SETFNIFBK INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:31.173851+00","2026-02-05 12:47:31.173857+00","0",NULL
"2602753","SETFNNINAV","SETFNN50 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:31.352797+00","2026-02-05 12:47:31.3528+00","0",NULL
"2603009","NETFINAV","NETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:31.536169+00","2026-02-05 12:47:31.536174+00","0",NULL
"2603265","TNIDETINAV","TNIDETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:31.653696+00","2026-02-05 12:47:31.6537+00","0",NULL
"2603777","UTIBANINAV","UTIBANKETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:32.073143+00","2026-02-05 12:47:32.073156+00","0",NULL
"2604289","UTINIFINAV","UTINIFTETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:32.356322+00","2026-02-05 12:47:32.356327+00","0",NULL
"2604801","UTISENINAV","UTISENSETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:32.525105+00","2026-02-05 12:47:32.525112+00","0",NULL
"2605057","SETFNIF50","SBI-ETF NIFTY 50","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:32.706495+00","2026-02-05 12:47:32.706506+00","0",NULL
"2707457","NIFTYBEES","NIP IND ETF NIFTY BEES","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:38.103551+00","2026-02-05 12:47:38.103562+00","0",NULL
"2754817","SILVERADD","DSPAMC - DSPSILVETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:42.457467+00","2026-02-05 12:47:42.457473+00","0",NULL
"2800385","JUNIORBEES","NIP IND ETF JUNIOR BEES","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:45.265333+00","2026-02-05 12:47:45.265345+00","0",NULL
